Crédito,Status da conta corrente existente,Duração em meses,Histórico de crédito,Finalidade,Valor do crédito,Conta de poupança/títulos,Tempo de emprego atual,Taxa de prestação em porcentagem da renda disponível,Estado civil e sexo,Outros devedores/garantidores,Residência atual desde,Propriedade,Idade em anos,Outros planos de parcelamento,Habitação,Número de créditos existentes neste banco,Ocupação,Número de pessoas a quem deve prestar sustento,Telefone,Trabalhador estrangeiro
Bom,Baixo,18,Em dia,Negócios,1913,Alto,Menos de 1,3,Homem - casado/viúvo,none,3,Imóvel,36,bank,Dono,1,Funcionário qualificado,1,telefone registrado,Trabalhador Estrangeiro
Bom,negativo,24,Em dia,Móveis/equipamentos,4020,Minimo,good-to-4,2,Homem - solteiro,none,2,Carro/outro,27,stores,Dono,1,Funcionário qualificado,1,Sem Telefone,Trabalhador Estrangeiro
Bom,Baixo,18,Em dia,Carro novo,5866,Baixo,good-to-4,2,Homem - solteiro,none,2,Carro/outro,30,none,Dono,2,Funcionário qualificado,1,telefone registrado,Trabalhador Estrangeiro
Bom,none,12,Crítico,Negócios,1264,none,7-+,4,Homem - solteiro,none,4,Desconhecido/nenhum,57,none,Aluguel,1,Residente não qualificado,1,Sem Telefone,Trabalhador Estrangeiro
Bom,estavel,12,Em dia,Móveis/equipamentos,1474,Minimo,Menos de 1,4,Mulher - divorciada/separada/casada,none,1,Acordo de poupança/seguro de vida,33,bank,Dono,1,Alta qualificação,1,telefone registrado,Trabalhador Estrangeiro
Ruim,Baixo,45,Crítico,Rádio/televisão,4746,Minimo,Menos de 1,4,Homem - solteiro,none,2,Acordo de poupança/seguro de vida,25,none,Dono,2,Residente não qualificado,1,Sem Telefone,Trabalhador Estrangeiro
Bom,none,48,Crítico,Educação,6110,Minimo,good-to-4,1,Homem - solteiro,none,3,Desconhecido/nenhum,31,bank,for-free,1,Funcionário qualificado,1,telefone registrado,Trabalhador Estrangeiro
Ruim,estavel,18,Em dia,Rádio/televisão,2100,Minimo,good-to-4,4,Homem - solteiro,Co-requerente,2,Imóvel,37,stores,Dono,1,Funcionário qualificado,1,Sem Telefone,Trabalhador Estrangeiro
Bom,estavel,10,Em dia,Eletrodomésticos,1225,Minimo,good-to-4,2,Homem - solteiro,none,2,Carro/outro,37,none,Dono,1,Funcionário qualificado,1,telefone registrado,Trabalhador Estrangeiro
Bom,Baixo,9,Em dia,Rádio/televisão,458,Minimo,good-to-4,4,Homem - solteiro,none,3,Imóvel,24,none,Dono,1,Funcionário qualificado,1,Sem Telefone,Trabalhador Estrangeiro
Bom,none,30,Em dia,Rádio/televisão,2333,Medio,7-+,4,Homem - solteiro,none,2,Carro/outro,30,bank,Dono,1,Alta qualificação,1,Sem Telefone,Trabalhador Estrangeiro
Bom,Baixo,12,Em dia,Rádio/televisão,1158,Medio,good-to-4,3,Homem - divorciado/separado,none,1,Carro/outro,26,none,Dono,1,Funcionário qualificado,1,telefone registrado,Trabalhador Estrangeiro
Bom,Baixo,18,Atraso passado,Reparos,6204,Minimo,good-to-4,2,Homem - solteiro,none,4,Imóvel,44,none,Dono,1,Residente não qualificado,2,telefone registrado,Trabalhador Estrangeiro
Bom,negativo,30,Crítico,Carro usado,6187,Baixo,4-to-7,1,Homem - casado/viúvo,none,4,Carro/outro,24,none,Aluguel,2,Funcionário qualificado,1,Sem Telefone,Trabalhador Estrangeiro
Ruim,negativo,48,Crítico,Carro usado,6143,Minimo,7-+,4,Mulher - divorciada/separada/casada,none,4,Desconhecido/nenhum,58,stores,for-free,2,Residente não qualificado,1,Sem Telefone,Trabalhador Estrangeiro
Bom,none,11,Crítico,Carro novo,1393,Minimo,Menos de 1,4,Mulher - divorciada/separada/casada,none,4,Carro/outro,35,none,Dono,2,Alta qualificação,1,Sem Telefone,Trabalhador Estrangeiro
Bom,none,36,Em dia,Rádio/televisão,2299,Medio,7-+,4,Homem - solteiro,none,4,Carro/outro,39,none,Dono,1,Funcionário qualificado,1,Sem Telefone,Trabalhador Estrangeiro
Bom,negativo,6,Em dia,Carro usado,1352,Medio,Desempregado,1,Mulher - divorciada/separada/casada,none,2,Acordo de poupança/seguro de vida,23,none,Aluguel,1,Não qualificado/não residente,1,telefone registrado,Trabalhador Estrangeiro
Bom,none,11,Crítico,Carro novo,7228,Minimo,good-to-4,1,Homem - solteiro,none,4,Acordo de poupança/seguro de vida,39,none,Dono,2,Residente não qualificado,1,Sem Telefone,Trabalhador Estrangeiro
Bom,none,12,Em dia,Rádio/televisão,2073,Baixo,good-to-4,4,Mulher - divorciada/separada/casada,Co-requerente,2,Imóvel,28,none,Dono,1,Funcionário qualificado,1,Sem Telefone,Trabalhador Estrangeiro
Bom,Baixo,24,Atraso passado,Móveis/equipamentos,2333,none,Menos de 1,4,Homem - solteiro,none,2,Acordo de poupança/seguro de vida,29,bank,Dono,1,Residente não qualificado,1,Sem Telefone,Trabalhador Estrangeiro
Bom,Baixo,27,Atraso passado,Carro usado,5965,Minimo,7-+,1,Homem - solteiro,none,2,Carro/outro,30,none,Dono,2,Alta qualificação,1,telefone registrado,Trabalhador Estrangeiro
Bom,none,12,Em dia,Rádio/televisão,1262,Minimo,good-to-4,3,Homem - solteiro,none,2,Carro/outro,25,none,Dono,1,Funcionário qualificado,1,Sem Telefone,Trabalhador Estrangeiro
Bom,none,18,Em dia,Carro usado,3378,none,good-to-4,2,Homem - solteiro,none,1,Acordo de poupança/seguro de vida,31,none,Dono,1,Funcionário qualificado,1,telefone registrado,Trabalhador Estrangeiro
Ruim,Baixo,36,Atraso passado,Carro novo,2225,Minimo,7-+,4,Homem - solteiro,none,4,Desconhecido/nenhum,57,bank,for-free,2,Funcionário qualificado,1,telefone registrado,Trabalhador Estrangeiro
Bom,none,6,Pagamento pelo banco,Carro novo,783,none,good-to-4,1,Homem - solteiro,Fiador,2,Imóvel,26,stores,Dono,1,Residente não qualificado,2,Sem Telefone,Trabalhador Estrangeiro
Ruim,Baixo,12,Em dia,Rádio/televisão,6468,none,Desempregado,2,Homem - solteiro,none,1,Desconhecido/nenhum,52,none,Dono,1,Alta qualificação,1,telefone registrado,Trabalhador Estrangeiro
Bom,none,36,Crítico,Rádio/televisão,9566,Minimo,good-to-4,2,Mulher - divorciada/separada/casada,none,2,Carro/outro,31,stores,Dono,2,Funcionário qualificado,1,Sem Telefone,Trabalhador Estrangeiro
Bom,estavel,18,Em dia,Carro novo,1961,Minimo,7-+,3,Mulher - divorciada/separada/casada,none,2,Carro/outro,23,none,Dono,1,Alta qualificação,1,Sem Telefone,Trabalhador Estrangeiro
Ruim,negativo,36,Crítico,Móveis/equipamentos,6229,Minimo,Menos de 1,4,Mulher - divorciada/separada/casada,Co-requerente,4,Desconhecido/nenhum,23,none,Aluguel,2,Residente não qualificado,1,telefone registrado,Trabalhador Estrangeiro
Bom,Baixo,9,Em dia,Negócios,1391,Minimo,good-to-4,2,Homem - casado/viúvo,none,1,Imóvel,27,bank,Dono,1,Funcionário qualificado,1,telefone registrado,Trabalhador Estrangeiro
Bom,Baixo,15,Crítico,Rádio/televisão,1537,none,7-+,4,Homem - solteiro,Fiador,4,Imóvel,50,none,Dono,2,Funcionário qualificado,1,telefone registrado,Trabalhador Estrangeiro
Ruim,Baixo,36,Totalmente pago,Negócios,1953,Minimo,7-+,4,Homem - solteiro,none,4,Desconhecido/nenhum,61,none,for-free,1,Alta qualificação,1,telefone registrado,Trabalhador Estrangeiro
Ruim,Baixo,48,Totalmente pago,Negócios,14421,Minimo,good-to-4,2,Homem - solteiro,none,2,Carro/outro,25,none,Dono,1,Funcionário qualificado,1,telefone registrado,Trabalhador Estrangeiro
Bom,none,24,Em dia,Rádio/televisão,3181,Minimo,Menos de 1,4,Mulher - divorciada/separada/casada,none,4,Acordo de poupança/seguro de vida,26,none,Dono,1,Funcionário qualificado,1,telefone registrado,Trabalhador Estrangeiro
Bom,none,27,Em dia,Reparos,5190,none,7-+,4,Homem - solteiro,none,4,Acordo de poupança/seguro de vida,48,none,Dono,4,Funcionário qualificado,2,telefone registrado,Trabalhador Estrangeiro
Bom,none,12,Em dia,Rádio/televisão,2171,Minimo,Menos de 1,2,Mulher - divorciada/separada/casada,none,2,Carro/outro,29,bank,Dono,1,Funcionário qualificado,1,Sem Telefone,Trabalhador Estrangeiro
Bom,Baixo,12,Em dia,Carro novo,1007,Alto,good-to-4,4,Homem - casado/viúvo,none,1,Imóvel,22,none,Dono,1,Funcionário qualificado,1,Sem Telefone,Trabalhador Estrangeiro
Ruim,none,36,Em dia,Educação,1819,Minimo,good-to-4,4,Homem - solteiro,none,4,Desconhecido/nenhum,37,stores,for-free,1,Funcionário qualificado,1,telefone registrado,Trabalhador Estrangeiro
Bom,none,36,Em dia,Rádio/televisão,2394,none,good-to-4,4,Mulher - divorciada/separada/casada,none,4,Carro/outro,25,none,Dono,1,Funcionário qualificado,1,Sem Telefone,Trabalhador Estrangeiro
Bom,none,36,Em dia,Carro usado,8133,Minimo,good-to-4,1,Mulher - divorciada/separada/casada,none,2,Acordo de poupança/seguro de vida,30,bank,Dono,1,Funcionário qualificado,1,Sem Telefone,Trabalhador Estrangeiro
Bom,none,7,Crítico,Rádio/televisão,730,none,7-+,4,Homem - solteiro,none,2,Acordo de poupança/seguro de vida,46,none,Aluguel,2,Residente não qualificado,1,telefone registrado,Trabalhador Estrangeiro
Bom,negativo,8,Crítico,outro,1164,Minimo,7-+,3,Homem - solteiro,none,4,Desconhecido/nenhum,51,bank,for-free,2,Alta qualificação,2,telefone registrado,Trabalhador Estrangeiro
Bom,Baixo,42,Crítico,Negócios,5954,Minimo,4-to-7,2,Mulher - divorciada/separada/casada,none,1,Imóvel,41,bank,Dono,2,Residente não qualificado,1,Sem Telefone,Trabalhador Estrangeiro
Ruim,negativo,36,Em dia,Educação,1977,none,7-+,4,Homem - solteiro,none,4,Desconhecido/nenhum,40,none,Dono,1,Alta qualificação,1,telefone registrado,Trabalhador Estrangeiro
Bom,negativo,12,Crítico,Carro usado,1526,Minimo,7-+,4,Homem - solteiro,none,4,Desconhecido/nenhum,66,none,for-free,2,Alta qualificação,1,Sem Telefone,Trabalhador Estrangeiro
Ruim,negativo,42,Em dia,Rádio/televisão,3965,Minimo,Menos de 1,4,Homem - solteiro,none,3,Carro/outro,34,none,Dono,1,Funcionário qualificado,1,Sem Telefone,Trabalhador Estrangeiro
Bom,Baixo,11,Atraso passado,Rádio/televisão,4771,Minimo,4-to-7,2,Homem - solteiro,none,4,Acordo de poupança/seguro de vida,51,none,Dono,1,Funcionário qualificado,1,Sem Telefone,Trabalhador Estrangeiro
Bom,none,54,Totalmente pago,Carro usado,9436,none,good-to-4,2,Homem - solteiro,none,2,Acordo de poupança/seguro de vida,39,none,Dono,1,Residente não qualificado,2,Sem Telefone,Trabalhador Estrangeiro
Bom,Baixo,30,Em dia,Móveis/equipamentos,3832,Minimo,Menos de 1,2,Homem - casado/viúvo,none,1,Acordo de poupança/seguro de vida,22,none,Dono,1,Funcionário qualificado,1,Sem Telefone,Trabalhador Estrangeiro
Ruim,none,24,Em dia,Rádio/televisão,5943,none,Menos de 1,1,Mulher - divorciada/separada/casada,none,1,Carro/outro,44,none,Dono,2,Funcionário qualificado,1,telefone registrado,Trabalhador Estrangeiro
Bom,none,15,Em dia,Rádio/televisão,1213,Medio,7-+,4,Homem - solteiro,none,3,Acordo de poupança/seguro de vida,47,stores,Dono,1,Funcionário qualificado,1,telefone registrado,Trabalhador Estrangeiro
Bom,none,18,Em dia,Negócios,1568,Baixo,good-to-4,3,Mulher - divorciada/separada/casada,none,4,Acordo de poupança/seguro de vida,24,none,Aluguel,1,Residente não qualificado,1,Sem Telefone,Trabalhador Estrangeiro
Bom,negativo,24,Em dia,outro,1755,Minimo,7-+,4,Mulher - divorciada/separada/casada,Fiador,4,Imóvel,58,none,Dono,1,Residente não qualificado,1,telefone registrado,Trabalhador Estrangeiro
Bom,negativo,10,Em dia,Rádio/televisão,2315,Minimo,7-+,3,Homem - solteiro,none,4,Imóvel,52,none,Dono,1,Residente não qualificado,1,Sem Telefone,Trabalhador Estrangeiro
Bom,none,12,Crítico,Negócios,1412,Minimo,good-to-4,4,Mulher - divorciada/separada/casada,Fiador,2,Imóvel,29,none,Dono,2,Alta qualificação,1,telefone registrado,Trabalhador Estrangeiro
Bom,Baixo,18,Crítico,Móveis/equipamentos,1295,Minimo,Menos de 1,4,Mulher - divorciada/separada/casada,none,1,Acordo de poupança/seguro de vida,27,none,Dono,2,Funcionário qualificado,1,Sem Telefone,Trabalhador Estrangeiro
Ruim,Baixo,36,Em dia,Educação,12612,Baixo,good-to-4,1,Homem - solteiro,none,4,Desconhecido/nenhum,47,none,for-free,1,Funcionário qualificado,2,telefone registrado,Trabalhador Estrangeiro
Bom,negativo,18,Em dia,Carro novo,2249,Baixo,4-to-7,4,Homem - solteiro,none,3,Carro/outro,30,none,Dono,1,Alta qualificação,2,telefone registrado,Trabalhador Estrangeiro
Ruim,negativo,12,Totalmente pago,Reparos,1108,Minimo,4-to-7,4,Homem - solteiro,none,3,Imóvel,28,none,Dono,2,Funcionário qualificado,1,Sem Telefone,Trabalhador Estrangeiro
Bom,none,12,Crítico,Rádio/televisão,618,Minimo,7-+,4,Homem - solteiro,none,4,Imóvel,56,none,Dono,1,Funcionário qualificado,1,Sem Telefone,Trabalhador Estrangeiro
Bom,negativo,12,Crítico,Carro usado,1409,Minimo,7-+,4,Homem - solteiro,none,3,Imóvel,54,none,Dono,1,Funcionário qualificado,1,Sem Telefone,Trabalhador Estrangeiro
Ruim,none,12,Crítico,Rádio/televisão,797,none,7-+,4,Mulher - divorciada/separada/casada,none,3,Acordo de poupança/seguro de vida,33,bank,Dono,1,Residente não qualificado,2,Sem Telefone,Trabalhador Estrangeiro
Bom,estavel,24,Crítico,Móveis/equipamentos,3617,none,7-+,4,Homem - solteiro,Co-requerente,4,Desconhecido/nenhum,20,none,Aluguel,2,Funcionário qualificado,1,Sem Telefone,Trabalhador Estrangeiro
Bom,Baixo,12,Em dia,Carro novo,1318,Alto,7-+,4,Homem - solteiro,none,4,Imóvel,54,none,Dono,1,Funcionário qualificado,1,telefone registrado,Trabalhador Estrangeiro
Ruim,Baixo,54,Totalmente pago,Negócios,15945,Minimo,Menos de 1,3,Homem - solteiro,none,4,Desconhecido/nenhum,58,none,Aluguel,1,Funcionário qualificado,1,telefone registrado,Trabalhador Estrangeiro
Bom,none,12,Crítico,Educação,2012,none,4-to-7,4,Mulher - divorciada/separada/casada,none,2,Carro/outro,61,none,Dono,1,Funcionário qualificado,1,Sem Telefone,Trabalhador Estrangeiro
Bom,Baixo,18,Em dia,Negócios,2622,Baixo,good-to-4,4,Homem - solteiro,none,4,Carro/outro,34,none,Dono,1,Funcionário qualificado,1,Sem Telefone,Trabalhador Estrangeiro
Bom,Baixo,36,Crítico,Rádio/televisão,2337,Minimo,7-+,4,Homem - solteiro,none,4,Imóvel,36,none,Dono,1,Funcionário qualificado,1,Sem Telefone,Trabalhador Estrangeiro
Bom,Baixo,20,Atraso passado,Carro usado,7057,none,4-to-7,3,Homem - solteiro,none,4,Acordo de poupança/seguro de vida,36,bank,Aluguel,2,Alta qualificação,2,telefone registrado,Trabalhador Estrangeiro
Bom,none,24,Em dia,Carro novo,1469,Baixo,7-+,4,Homem - casado/viúvo,none,4,Imóvel,41,none,Aluguel,1,Residente não qualificado,1,Sem Telefone,Trabalhador Estrangeiro
Bom,Baixo,36,Em dia,Rádio/televisão,2323,Minimo,4-to-7,4,Homem - solteiro,none,4,Carro/outro,24,none,Aluguel,1,Funcionário qualificado,1,Sem Telefone,Trabalhador Estrangeiro
Bom,none,6,Atraso passado,Rádio/televisão,932,Minimo,good-to-4,3,Mulher - divorciada/separada/casada,none,2,Imóvel,24,none,Dono,1,Funcionário qualificado,1,Sem Telefone,Trabalhador Estrangeiro
Bom,Baixo,9,Crítico,Móveis/equipamentos,1919,Minimo,4-to-7,4,Homem - solteiro,none,3,Carro/outro,35,none,Aluguel,1,Funcionário qualificado,1,telefone registrado,Trabalhador Estrangeiro
Bom,none,12,Em dia,Carro usado,2445,none,Menos de 1,2,Homem - casado/viúvo,none,4,Carro/outro,26,none,Aluguel,1,Funcionário qualificado,1,telefone registrado,Trabalhador Estrangeiro
Ruim,Baixo,24,Crítico,outro,11938,Minimo,good-to-4,2,Homem - solteiro,Co-requerente,3,Carro/outro,39,none,Dono,2,Alta qualificação,2,telefone registrado,Trabalhador Estrangeiro
Ruim,none,18,Pagamento pelo banco,Carro novo,6458,Minimo,7-+,2,Homem - solteiro,none,4,Desconhecido/nenhum,39,bank,Dono,2,Alta qualificação,2,telefone registrado,Trabalhador Estrangeiro
Bom,Baixo,12,Em dia,Carro novo,6078,Minimo,4-to-7,2,Homem - solteiro,none,2,Carro/outro,32,none,Dono,1,Funcionário qualificado,1,Sem Telefone,Trabalhador Estrangeiro
Bom,negativo,24,Em dia,Móveis/equipamentos,7721,none,Menos de 1,1,Mulher - divorciada/separada/casada,none,2,Acordo de poupança/seguro de vida,30,none,Dono,1,Funcionário qualificado,1,telefone registrado,Trabalhador Local
Bom,Baixo,14,Em dia,Negócios,1410,Medio,7-+,1,Homem - casado/viúvo,none,2,Imóvel,35,none,Dono,1,Funcionário qualificado,1,telefone registrado,Trabalhador Estrangeiro
Bom,Baixo,6,Atraso passado,Negócios,1449,Baixo,7-+,1,Homem - divorciado/separado,none,2,Carro/outro,31,bank,Dono,2,Funcionário qualificado,2,Sem Telefone,Trabalhador Estrangeiro
Bom,estavel,15,Em dia,Educação,392,Minimo,Menos de 1,4,Mulher - divorciada/separada/casada,none,4,Acordo de poupança/seguro de vida,23,none,Aluguel,1,Funcionário qualificado,1,telefone registrado,Trabalhador Estrangeiro
Bom,Baixo,18,Em dia,Carro novo,6260,Minimo,4-to-7,3,Homem - solteiro,none,3,Imóvel,28,none,Aluguel,1,Residente não qualificado,1,Sem Telefone,Trabalhador Estrangeiro
Ruim,none,36,Crítico,Carro novo,7855,Minimo,good-to-4,4,Mulher - divorciada/separada/casada,none,2,Imóvel,25,stores,Dono,2,Funcionário qualificado,1,telefone registrado,Trabalhador Estrangeiro
Bom,negativo,12,Em dia,Rádio/televisão,1680,Medio,7-+,3,Homem - casado/viúvo,none,1,Imóvel,35,none,Dono,1,Funcionário qualificado,1,Sem Telefone,Trabalhador Estrangeiro
Bom,none,48,Crítico,Rádio/televisão,3578,none,7-+,4,Homem - solteiro,none,1,Imóvel,47,none,Dono,1,Funcionário qualificado,1,telefone registrado,Trabalhador Estrangeiro
Ruim,negativo,42,Em dia,Rádio/televisão,7174,none,4-to-7,4,Mulher - divorciada/separada/casada,none,3,Carro/outro,30,none,Dono,1,Alta qualificação,1,telefone registrado,Trabalhador Estrangeiro
Bom,negativo,10,Crítico,Móveis/equipamentos,2132,none,Menos de 1,2,Mulher - divorciada/separada/casada,Co-requerente,3,Imóvel,27,none,Aluguel,2,Funcionário qualificado,1,Sem Telefone,Trabalhador Local
Ruim,negativo,33,Crítico,Móveis/equipamentos,4281,Medio,good-to-4,1,Mulher - divorciada/separada/casada,none,4,Carro/outro,23,none,Dono,2,Funcionário qualificado,1,Sem Telefone,Trabalhador Estrangeiro
Bom,Baixo,12,Crítico,Carro novo,2366,Medio,4-to-7,3,Homem - divorciado/separado,none,3,Carro/outro,36,none,Dono,1,Alta qualificação,1,telefone registrado,Trabalhador Estrangeiro
Ruim,negativo,21,Em dia,Rádio/televisão,1835,Minimo,good-to-4,3,Mulher - divorciada/separada/casada,none,2,Imóvel,25,none,Dono,2,Funcionário qualificado,1,telefone registrado,Trabalhador Estrangeiro
Bom,none,24,Crítico,Carro usado,3868,Minimo,7-+,4,Mulher - divorciada/separada/casada,none,2,Carro/outro,41,none,Aluguel,2,Alta qualificação,1,telefone registrado,Trabalhador Estrangeiro
Bom,none,12,Em dia,Móveis/equipamentos,1768,Minimo,good-to-4,3,Homem - solteiro,none,2,Imóvel,24,none,Aluguel,1,Residente não qualificado,1,Sem Telefone,Trabalhador Estrangeiro
